research_field,topic_words,topic_label
Geomorphology,"river, floodplain, channel, meander, hydrology",Fluvial Geomorphology and Rivers
Geomorphology,"tectonics, uplift, fault, earthquake, mountain",Tectonic Geomorphology
Geomorphology,"slope, landslide, creep, mass, movement",Hillslope Mass Movement
Geomorphology,"coast, beach, dune, wave, sea",Coastal and Marine Landforms
Geomorphology,"karst, cave, sinkhole, limestone, dissolution",Karst Topography and Caves
Painting,"pigment, binder, oil, canvas, support",Painting Materials and Mediums
Painting,"fresco, tempera, watercolor, encaustic, acrylic",Historical Painting Techniques
Painting,"composition, perspective, form, space, line",Visual Elements of Painting
Painting,"brushwork, texture, impasto, glazing, underdrawing",Painterly Techniques
Painting,"color, palette, hue, saturation, value",Theory and Use of Color
Painting,"iconography, symbolism, narrative, portraiture, landscape",
Painting,"conservation, restoration, analysis, deterioration, dating",Conservation and Art Science
Neurosciences,"neuron, synapse, neurotransmitter, action, potential",Cellular Neurophysiology
Neurosciences,"dendrite, axon, glial, myelin, neurite",Neuroanatomy and Cell Biology
Neurosciences,"fmri, eeg, meg, neuroimaging, brain",Functional Brain Imaging
Neurosciences,"cognition, memory, learning, behavioral, psychology",Cognitive and Behavioral Neuroscience
Neurosciences,"parkinson's, alzheimer's, stroke, neurology, disorder",Clinical Neuroscience & Disorders
Neurosciences,"computational, network, algorithm, modeling, data",Computational Neuroscience & Modeling
Neurosciences,"development, prenatal, aging, molecular, mechanisms",Developmental and Molecular Mechanisms
History of Philosophy,"plato, aristotle, socrates, ancient, greece",Ancient Greek Philosophy
History of Philosophy,"aquinas, scholasticism, medieval, theology, faith",Medieval Scholastic Philosophy
History of Philosophy,"descartes, locke, hume, rationalism, empiricism",Early Modern Philosophy
History of Philosophy,"kant, hegel, german, idealism, critique",German Idealism
History of Philosophy,"nietzsche, sartre, kierkegaard, existence, phenomenology",Existentialism and Phenomenology
History of Philosophy,"russell, wittgenstein, logic, language, analysis",Analytic Philosophy Origins
History of Philosophy,"confucius, buddha, daoism, vedanta, eastern",Classical Eastern Philosophies
Applied Mechanics,"stress, strain, elasticity, plasticity, failure",Mechanics of Solid Materials
Applied Mechanics,"navier, stokes, turbulence, compressible, incompressible",Fluid Dynamics and Flow
Applied Mechanics,"dynamics, kinematics, motion, force, energy",Body Dynamics and Kinematics
Applied Mechanics,"finite, element, simulation, computational, numerical",Computational Mechanics Methods
Applied Mechanics,"vibration, damping, resonance, frequency, oscillation",Dynamics and Structural Vibration
Applied Mechanics,"tissues, bone, joints, biofluid, orthopaedics",Applied Biomechanics Studies
Applied Mechanics,"nanoscale, microscale, surface, contact, friction",Micro and Nanomechanics
Medical Nutrition,"disease, management, intervention, clinical, diet",Clinical Nutrition Intervention
Medical Nutrition,"obesity, weight, metabolic, syndrome, bariatric",Obesity and Metabolic Health
Medical Nutrition,"nutrigenomics, gene, dietary, interaction, expression",Nutrient-Gene Interactions
Medical Nutrition,"enteral, parenteral, tube, feeding, support",Specialized Nutrition Support
Medical Nutrition,"assessment, status, malnutrition, screening, risk",Nutritional Status Assessment
Medical Nutrition,"cancer, cachexia, oncology, treatment, appetite",Nutrition in Oncology Care
Medical Nutrition,"renal, kidney, dialysis, electrolyte, protein",Renal Dietetics
Macroeconomics,"gdp, growth, output, national, income",Economic Growth and GDP
Macroeconomics,"inflation, prices, level, deflation, rate",Price Level and Inflation
Macroeconomics,"unemployment, labor, force, jobless, rate",Unemployment and Labor Market
Macroeconomics,"fiscal, government, spending, taxes, policy",Government Fiscal Policy
Macroeconomics,"monetary, central, interest, bank, policy",Central Bank Monetary Policy
Macroeconomics,"cycle, recession, expansion, peak, contraction",Business Cycle Dynamics
Macroeconomics,"trade, exchange, balance, international, currency",International Trade & Finance
Ethics in Religion,"theology, morality, doctrine, sin, virtue",Religious Morality and Doctrine
Ethics in Religion,"bioethics, life, death, medical, treatment",Religious Bioethics
Ethics in Religion,"social, justice, poverty, equality, community",Social Justice in Religion
Ethics in Religion,"war, peace, violence, conflict, nonviolence",Ethics of War and Peace
Ethics in Religion,"sexuality, marriage, gender, family, identity",Religious Sexual Ethics
Ethics in Religion,"environmental, stewardship, creation, ecology, nature",Religious Environmental Ethics
Ethics in Religion,"authority, power, clergy, abuse, institutional",Ethics of Religious Institutions
Russian Literature,"dostoevsky, tolstoy, turgeniev, gogol, pushkin",19th Century Masters
Russian Literature,"revolution, soviet, samizdat, censorship, dissidence",Soviet Era Literature
Russian Literature,"symbolism, modernism, acmeism, futurism, pasternak",Silver Age Poetry
Russian Literature,"empire, nation, orientalism, caucasus, colonial",Literature and Empire
Russian Literature,"orthodoxy, philosophy, ethics, soul, redemption",Religious and Philosophical Themes
Russian Literature,"identity, gender, feminist, masculinity, sexuality",Gender and Cultural Identity
Russian Literature,"novel, epic, realism, sentimentalism, romanticism",Literary Forms and Movements
Chemical Actions and Uses,"reaction, mechanism, kinetics, rate, transition",Chemical Reaction Kinetics & Mechanisms
Chemical Actions and Uses,"drug, receptor, binding, target, activity",Drug Receptor Binding & Activity
Chemical Actions and Uses,"catalysis, homogeneous, heterogeneous, reaction, selectivity",Catalysis Reaction Selectivity
Chemical Actions and Uses,"toxicity, exposure, dose, hazard, risk",Chemical Toxicity and Risk Assessment
Chemical Actions and Uses,"electrolysis, redox, electrode, cell, current",Electrochemical Reactions and Cells
Chemical Actions and Uses,"polymerization, monomer, chain, synthesis, molecular",Molecular Polymerization Synthesis
Chemical Actions and Uses,"degradation, photolysis, oxidation, hydrolysis, environmental",Environmental Chemical Degradation
Geographic Information Sciences,"vector, raster, topology, projection, attribute",GIS Data Models
Geographic Information Sciences,"satellite, imagery, multispectral, ndvi, classification",Remote Sensing Analysis
Geographic Information Sciences,"interpolation, kriging, idw, surface, spatial",Spatial Interpolation Methods
Geographic Information Sciences,"geocoding, routing, network, location, transportation",Geocoding and Network Analysis
Geographic Information Sciences,"elevation, dem, lidar, terrain, hydrology",Digital Elevation Modeling
Geographic Information Sciences,"accuracy, precision, error, uncertainty, metadata",Geospatial Data Quality
Geographic Information Sciences,"webgis, openlayers, leaflet, server, api",Web Mapping Technologies
Elementary Particles and Fields and String Theory,"gauge, field, symmetry, boson, fermion",Quantum Field Theory Basics
Elementary Particles and Fields and String Theory,"standard, model, higgs, quark, lepton",Standard Model Physics
Elementary Particles and Fields and String Theory,"supersymmetry, superstring, brane, ten-dimensional, m-theory",String and M-Theory
Elementary Particles and Fields and String Theory,"black, hole, gravity, singularity, event",Black Hole Physics
Elementary Particles and Fields and String Theory,"cosmology, inflation, dark, energy, matter",Particle Cosmology
Elementary Particles and Fields and String Theory,"holography, adscft, correspondence, boundary, duality",Holographic Duality
Elementary Particles and Fields and String Theory,"collider, lhc, scattering, detector, cross",High Energy Colliders
"Policy History,","federal, state, legislation, government, action",Federal and State Policy
"Policy History,","social, welfare, security, programs, reform",History of Social Policy
"Policy History,","racial, wealth, gap, equality, legislation",Race and Policy History
"Policy History,","foreign, policy, cold, war, diplomacy",US Foreign Policy History
"Policy History,","prohibition, alcohol, crime, temperance, era",Prohibition Era Policy
"Policy History,","public, history, engagement, archives, documentation",Policy Archives and Public History
"Policy History,","labor, rights, union, workplace, regulation",Workplace Rights and Labor Policy
Music Therapy,"rhythm, pitch, tempo, dynamics, timbre",Musical Elements in Therapy
Music Therapy,"autism, communication, social, behavior, development",Music Therapy for Autism
Music Therapy,"pain, management, anxiety, reduction, relaxation",Music for Pain and Anxiety
Music Therapy,"alzheimer's, dementia, memory, cognition, reminiscence",Music Therapy for Dementia
Music Therapy,"improvisation, songwriting, composition, creation, expression",Creative Music Interventions
Music Therapy,"neurologic, rehabilitation, stroke, gait, speech",Neurologic Music Therapy
Music Therapy,"assessment, evaluation, outcome, measurement, client",Music Therapy Assessment
Animals,"ethology, behavior, ecology, social, communication",Animal Behavior and Sociality
Animals,"conservation, species, biodiversity, habitat, extinction",Wildlife Conservation and Ecology
Animals,"anatomy, physiology, organism, function, system",Comparative Animal Physiology
Animals,"evolution, phylogeny, adaptation, selection, speciation",Evolutionary Zoology
Animals,"domestication, livestock, welfare, breeding, production",Domestic Animal Science
Animals,"parasite, host, disease, pathogen, zoonotic",Animal Disease and Parasitology
Animals,"foraging, predator, prey, niche, ecosystem",Animal Ecology and Foraging
Economic Theory,"utility, preference, choice, rational, consumer",Consumer Choice Theory
Economic Theory,"game, equilibrium, strategy, nash, cooperation",Game Theory Concepts
Economic Theory,"market, failure, externality, asymmetry, public",Market Failure Analysis
Economic Theory,"growth, model, capital, technology, solow",Economic Growth Models
Economic Theory,"agent, behavioral, finance, heuristics, prospect",Behavioral Economics
Economic Theory,"information, incentives, contract, principal, mechanism",Information and Incentives
Economic Theory,"welfare, pareto, efficiency, social, allocation",Welfare Economics
Labor Economics,"wage, skill, education, return, human",Human Capital & Wages
Labor Economics,"unemployment, search, frictions, duration, matching",Unemployment and Job Search
Labor Economics,"migration, immigrant, assimilation, labor, flow",Immigration and Labor Markets
Labor Economics,"minimum, wage, employment, policy, effects",Minimum Wage Policy Effects
Labor Economics,"gender, discrimination, gap, female, wage",Gender Labor Market Disparities
Labor Economics,"collective, bargaining, unions, power, worker",Unions and Collective Bargaining
Labor Economics,"retirement, pension, saving, elderly, social",Retirement and Social Security
Agricultural Economics,"farm, production, efficiency, management, cost",Agricultural Production Economics
Agricultural Economics,"market, prices, supply, demand, trade",Agricultural Market Analysis
Agricultural Economics,"policy, subsidy, regulation, government, welfare",Agricultural Policy Impact
